started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 04:17:55.529000+00:00,2023-12-01 04:29:09.543000+00:00,674,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396224461626154,5.315384703788823
2023-12-01 04:20:00.495000+00:00,2023-12-01 04:26:43.328000+00:00,402,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.38785633733042,5.334459219764085
2023-12-01 04:20:57.570000+00:00,2023-12-01 04:32:18.965000+00:00,681,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2023-12-01 04:21:33.927000+00:00,2023-12-01 04:37:07.377000+00:00,933,788,Danmarksplass,Ved bybanestopp,60.376082994809856,5.339851409058042,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
2023-12-01 04:42:58.880000+00:00,2023-12-01 04:52:52.462000+00:00,593,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2023-12-01 04:56:43.065000+00:00,2023-12-01 05:02:35.177000+00:00,352,1048,Øvre Korskirkeallmenning,På venstre side av allmenning,60.395099485721786,5.328645087376344,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2023-12-01 04:59:18.041000+00:00,2023-12-01 05:07:17.033000+00:00,478,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
2023-12-01 05:02:50.799000+00:00,2023-12-01 05:15:30.382000+00:00,759,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248,49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536
2023-12-01 05:05:45.228000+00:00,2023-12-01 05:13:07.562000+00:00,442,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2023-12-01 05:12:17.171000+00:00,2023-12-01 05:19:08.796000+00:00,411,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455
